id:ID	name	description
CHEBI:28741	sodium fluoride	"A radiopharmaceutical consisting of the sodium salt of fluorine F 18 fluoride with radioisotopic and bone mineralizing activities. Fluoride binds to calcium ions in hydroxyapatite crystals in bone. The uptake and incorporation of positron-emitting fluorine F 18 fluoride into bone can be imaged using positron emission tomography (PET) or single-photon emission computed tomography (SPECT), allowing visualization of malignant bone lesions in which regional blood flow and bone turnover are increased.; A radiopharmaceutical consisting of the sodium salt of fluorine F 18 fluoride with radioisotopic and bone mineralizing activities. Fluoride binds to calcium ions in hydroxyapatite crystals in bone. The uptake and incorporation of positron-emitting fluorine F 18 fluoride into bone can be imaged using positron emission tomography (PET) or single-photon emission computed tomography (SPECT), allowing visualization of malignant bone lesions in which regional blood flow and bone turnover are increased. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C66941"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C66941"" NCI Thesaurus); UMLS Semantic Type: STY:T130; UMLS Semantic Type: STY:T197"
CHEBI:86431	sodium fluorophosphate	Sodium fluorophosphate, commonly abbreviated MFP, is an inorganic compound with the chemical formula Na2PO3F. Typical for a salt, MFP is odourless, colourless, and water-soluble. This salt is an ingredient in toothpastes.
UNII:8NY9L8837D	OLAFLUR	Olaflur which is also referred to as elmex gel is an ingredient used in toothpaste which helps in the prevention of dental caries.
CHEBI:135933	stannous fluoride	UMLS Semantic Type: STY:T122; UMLS Semantic Type: STY:T197; Stannous Fluoride, or Tn(II) Fluoride, is a compound commonly used in toothpastes for the prevention of gingivitis, dental infections, cavities, and to relieve dental hypersensitivity. Although similar in function and activity to Sodium Fluoride (NaF), the conventionally added ingredient in toothpastes, stannous fluoride has been shown to be more effective at stopping and reversing dental lesions [A19581]. It manages and prevents dental caries and gingivitis by promoting enamel mineralization [A19580], reducing gingival inflammation and bleeding [A19582, A19583] through its potential broad-spectrum antibiotic effect and modulation of the microbial composition of the dental biofilm [A19581]. It is an FDA-approved over-the-counter product.
UMLS:C3540720	Caries prophylactic agent combinations	UMLS Semantic Type: STY:T121
UMLS:C3652828	sodium fluoride, combinations	UMLS Semantic Type: STY:T121
UMLS:C3653636	Antiinfectives and antiseptics for local oral treatment	UMLS Semantic Type: STY:T121
CHEBI:16240	hydrogen peroxide	Hydrogen peroxide (H2O2) is a very pale blue liquid that appears colourless in a dilute solution. H2O2 is slightly more viscous than water and is a weak acid. H2O2 is unstable and slowly decomposes in the presence of light. It has strong oxidizing properties and is, therefore, a powerful bleaching agent that is mostly used for bleaching paper. H2O2 has also found use as a disinfectant and as an oxidizer. H2O2 in the form of carbamide peroxide is widely used for tooth whitening (bleaching), both in professionally- and in self-administered products. H2O2 is a well-documented component of living cells and is a normal metabolite of oxygen in the aerobic metabolism of cells and tissues. A total of 31 human cellular H2O2 generating enzymes has been identified so far (PMID: 25843657). H2O2 plays important roles in host defence and oxidative biosynthetic reactions. At high levels (>100 nM) H2O2 is toxic to most cells due to its ability to non-specifically oxidize proteins, membranes and DNA, leading to general cellular damage and dysfunction. However, at low levels (<10 nM), H2O2 functions as a signalling agent, particularly in higher organisms. In plants, H2O2 plays a role in signalling to cause cell shape changes such as stomatal closure and root growth. As a messenger molecule in vertebrates, H2O2 diffuses through cells and tissues to initiate cell shape changes, to drive vascular remodelling, and to activate cell proliferation and recruitment of immune cells. H2O2 also plays a role in redox sensing, signalling, and redox regulation (PMID: 28110218). This is normally done through molecular redox “switches” such as thiol-containing proteins. The production and decomposition of H2O2 are tightly regulated (PMID: 17434122). In humans, H2O2 can be generated in response to various stimuli, including cytokines and growth factors. H2O2 is degraded by several enzymes including catalase and superoxide dismutase (SOD), both of which play important roles in keeping the amount of H2O2 in the body below toxic levels. H2O2 also appears to play a role in vitiligo. Vitiligo is a skin pigment disorder leading to patchy skin colour, especially among dark-skinned individuals. Patients with vitiligo have low catalase levels in their skin, leading to higher levels of H2O2. High levels of H2O2 damage the epidermal melanocytes, leading to a loss of pigment (PMID: 10393521). Accumulating evidence suggests that hydrogen peroxide H2O2 plays an important role in cancer development. Experimental data have shown that cancer cells produce high amounts of H2O2. An increase in the cellular levels of H2O2 has been linked to several key alterations in cancer, including DNA changes, cell proliferation, apoptosis resistance, metastasis, angiogenesis and hypoxia-inducible factor 1 (HIF-1) activation (PMID: 17150302, 17335854, 16677071, 16607324, 16514169). H2O2 is found in most cells, tissues, and biofluids. H2O2 levels in the urine can be significantly increased with the consumption of coffee and other polyphenolic-containing beverages (wine, tea) (PMID: 12419961). In particular, roasted coffee has high levels of 1,2,4-benzenetriol which can, on its own, lead to the production of H2O2. Normal levels of urinary H2O2 in non-coffee drinkers or fasted subjects are between 0.5-3 uM/mM creatinine whereas, for those who drink coffee, the levels are between 3-10 uM/mM creatinine (PMID: 12419961). It is thought that H2O2 in urine could act as an antibacterial agent and that H2O2 is involved in the regulation of glomerular function (PMID: 10766414).
CHEBI:3614	chlorhexidine	"A disinfectant and topical anti-infective agent used also as mouthwash to prevent oral plaque.; A biguanide compound used as an antiseptic agent with topical antibacterial activity. Chlorhexidine is positively charged and reacts with the negatively charged microbial cell surface, thereby destroying the integrity of the cell membrane. Subsequently, chlorhexidine penetrates into the cell and causes leakage of intracellular components leading to cell death. Since gram positive bacteria are more negatively charged, they are more sensitive to this agent.; A biguanide compound used as an antiseptic agent with topical antibacterial activity. Chlorhexidine is positively charged and reacts with the negatively charged microbial cell surface, thereby destroying the integrity of the cell membrane. Subsequently, chlorhexidine penetrates into the cell and causes leakage of intracellular components leading to cell death. Since gram positive bacteria are more negatively charged, they are more sensitive to this agent. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C364"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C364"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:2682	amphotericin B	"A liposome-encapsulated formulation of the polyene antifungal antibiotic amphotericin B produced by the bacterium Streptomyces nodosus with antifungal activity. Amphotericin B binds to ergosterol, an essential component of the fungal cell membrane, and alters cell membrane integrity, resulting in leakage of intracellular components and cell rupture. This agent may also induce oxidative damage in fungal cells and has been reported to stimulate host immune cells. Compared to amphotericin B alone, liposomal delivery of amphotericin B allows for a greater drug concentration in target tissues while decreasing systemic side effects.; A liposome-encapsulated formulation of the polyene antifungal antibiotic amphotericin B produced by the bacterium Streptomyces nodosus with antifungal activity. Amphotericin B binds to ergosterol, an essential component of the fungal cell membrane, and alters cell membrane integrity, resulting in leakage of intracellular components and cell rupture. This agent may also induce oxidative damage in fungal cells and has been reported to stimulate host immune cells. Compared to amphotericin B alone, liposomal delivery of amphotericin B allows for a greater drug concentration in target tissues while decreasing systemic side effects. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C1566"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1566"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T195"
UNII:E18NBG5EEY	POLYNOXYLIN	POLYNOXYLIN; MAX_FDA_APPROVAL_PHASE: 4.0
CHEBI:135978	domiphen	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Domiphen bromide is a quaternary ammonium compound that is predominantly employed as a topically administered antiseptic agent.
CHEBI:48981	quinolin-8-ol	A monohydroxyquinoline that is quinoline substituted by a hydroxy group at position 8. Its fungicidal properties are used for the control of grey mould on vines and tomatoes.; 
CHEBI:7507	neomycin	"Aminoglycoside antibiotic complex produced by Streptomyces fradiae. It is composed of neomycins A, B, and C, and acts by inhibiting translation during protein synthesis.; A broad spectrum aminoglycoside antibiotic derived from Streptomyces fradiae with antibacterial activity. Neomycin is an antibiotic complex consisting of 3 components: the two isomeric components B and C are the active components, and neomycin A is the minor component. Neomycin irreversibly binds to the 16S rRNA and S12 protein of the bacterial 30S ribosomal subunit. As a result, this agent interferes with the assembly of initiation complex between mRNA and the bacterial ribosome, thereby inhibiting the initiation of protein synthesis. In addition, neomycin induces misreading of the mRNA template and causes translational frameshift, thereby results in premature termination. This eventually leads to bacterial cell death.; A broad spectrum aminoglycoside antibiotic derived from Streptomyces fradiae with antibacterial activity. Neomycin is an antibiotic complex consisting of 3 components: the two isomeric components B and C are the active components, and neomycin A is the minor component. Neomycin irreversibly binds to the 16S rRNA and S12 protein of the bacterial 30S ribosomal subunit. As a result, this agent interferes with the assembly of initiation complex between mRNA and the bacterial ribosome, thereby inhibiting the initiation of protein synthesis. In addition, neomycin induces misreading of the mRNA template and causes translational frameshift, thereby results in premature termination. This eventually leads to bacterial cell death. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C683"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C683"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T195"
CHEBI:6923	miconazole	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; Miconazole is a broad-spectrum azole antifungal with some activity against Gram-positive bacteria as well.[A203636] It is widely used to treat mucosal yeast infections, including both oral and vaginal infections; although intravenous miconazole is no longer available, a wide variety of suppositories, creams, gels, and tablet-based products are available.[L14021, L14024, L14027, L14033, L14396] Miconazole is thought to act primarily through the inhibition of fungal CYP450 14α-lanosterol demethylase activity.[A203636, A203639]    Miconazole was first synthesized in 1969 and first granted FDA approval on January 8, 1974, for sale by INSIGHT Pharmaceuticals as a topical cream.[A214523, L14021] It is currently available as a variety of prescription and over the counter products. Despite having been in clinical use for an extended period, resistance to miconazole among susceptible organisms is relatively low.[A203636]
CHEBI:7488	natamycin	Amphoteric macrolide antifungal antibiotic from Streptomyces natalensis or S. chattanoogensis. It is used for a variety of fungal infections, mainly topically.; A polyene amphoteric macrolide antibiotic with antifungal properties. Natamycin exerts its antifungal effects by binding to sterols in the fungal cell membrane thereby increasing membrane permeability. This leads to a leakage and loss of essential cellular constituents. Following ocular application, natamycin is retained in the conjunctival fornices and attains effective concentrations within the corneal stroma where it exerts its effect.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T195
UMLS:C3540008	various antiinfectives and antiseptics for local oral treatment	UMLS Semantic Type: STY:T121
CHEBI:94339	1,3-bis(2-ethylhexyl)-5-methyl-1,3-diazinan-5-amine	A bactericidal and fungicidal antiseptic. It is used as a 0.1% mouthwash for local infections and oral hygiene. (From Martindale, The Extra Pharmacopoeia, 30th ed, p797); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:27902	tetracycline	"The hydrochloride salt of tetracycline, a broad-spectrum naphthacene antibiotic produced semisynthetically from chlortetracycline, an antibiotic isolated from the bacterium Streptomyces aureofaciens. In bacteria, tetracycline blocks binding of aminoacyl-tRNA to the mRNA-ribosome complex, thereby inhibiting protein synthesis and bacterial cell growth. Because naturally fluorescing tetracycline binds to newly formed bone at the bone/osteoid interface, tetracycline-labeling of bone and fluorescence microscopy may be used to perform bone histomorphometry.; The hydrochloride salt of tetracycline, a broad-spectrum naphthacene antibiotic produced semisynthetically from chlortetracycline, an antibiotic isolated from the bacterium Streptomyces aureofaciens. In bacteria, tetracycline blocks binding of aminoacyl-tRNA to the mRNA-ribosome complex, thereby inhibiting protein synthesis and bacterial cell growth. Because naturally fluorescing tetracycline binds to newly formed bone at the bone/osteoid interface, tetracycline-labeling of bone and fluorescence microscopy may be used to perform bone histomorphometry. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C48020"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C48020"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T195"
UNII:12IMO9R11X	BENZOXONIUM CHLORIDE	BENZOXONIUM CHLORIDE; FULL_MW:400.05; MAX_FDA_APPROVAL_PHASE: -1.0
UNII:E9P274AJEW	TIBEZONIUM IODIDE	TIBEZONIUM IODIDE; FULL_MW:601.62; MAX_FDA_APPROVAL_PHASE: -1.0
UNII:B7FBW3Y74G	MEPARTRICIN	MEPARTRICIN; FULL_MW:2268.69; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:6909	metronidazole	A member of the class of imidazoles substituted at C-1, -2 and -5 with 2-hydroxyethyl, nitro and methyl groups respectively. It has activity against anaerobic bacteria and protozoa, and has a radiosensitising effect on hypoxic tumour cells. It may be given by mouth in tablets, or as the benzoate in an oral suspension. The hydrochloride salt can be used in intravenous infusions. Metronidazole is a prodrug and is selective for anaerobic bacteria due to their ability to intracellularly reduce the nitro group of metronidazole to give nitroso-containing intermediates. These can covalently bind to DNA, disrupting its helical structure, inducing DNA strand breaks and inhibiting bacterial nucleic acid synthesis, ultimately resulting in bacterial cell death.
CHEBI:3764	clotrimazole	"An imidazole derivative with a broad spectrum of antimycotic activity. It inhibits biosynthesis of the sterol ergostol, an important component of fungal CELL MEMBRANES. Its action leads to increased membrane permeability and apparent disruption of enzyme systems bound to the membrane.; A synthetic, imidazole derivate with broad-spectrum, antifungal activity. Clotrimazole inhibits biosynthesis of sterols, particularly ergosterol, an essential component of the fungal cell membrane, thereby damaging and affecting the permeability of the cell membrane. This results in leakage and loss of essential intracellular compounds, and eventually causes cell lysis.; A synthetic, imidazole derivate with broad-spectrum, antifungal activity. Clotrimazole inhibits biosynthesis of sterols, particularly ergosterol, an essential component of the fungal cell membrane, thereby damaging and affecting the permeability of the cell membrane. This results in leakage and loss of essential intracellular compounds, and eventually causes cell lysis. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C381"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C381"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:30178	sodium perborate	SODIUM PERBORATE; FULL_MW:199.63; MAX_FDA_APPROVAL_PHASE: 4.0
CHEBI:27644	chlortetracycline	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T195; Chlortetracycline is a _tetracycline_ antibiotic, and historically the first member of this class to be identified. It was discovered in 1945 by the scientist, Benjamin Minge Duggar, working at Lederle Laboratories under the supervision of Yellapragada Subbarow. He discovered that this antibiotic was the product of an actinomycete strain he cultured and obtained from a soil sample from a field in Missouri. The organism was named _Streptomyces aureofaciens_ due to its gold-hued color.
CHEBI:50845	doxycycline	"An injectable formulation composed of the hyclate salt form of doxycycline, a synthetic, broad-spectrum tetracycline antibiotic, with antimicrobial activity. Upon injection, doxycycline reversibly binds to the bacterial 30S ribosomal subunit, and blocks the binding of aminoacyl-tRNA to the mRNA-ribosome complex. This leads to an inhibition of bacterial protein synthesis and abrogates bacterial infections.; The hyclate salt form of doxycycline, a synthetic, broad-spectrum tetracycline antibiotic exhibiting antimicrobial activity. Doxycycline hyclate binds reversibly to the 30S ribosomal subunit, possibly to the 50S ribosomal subunit as well, thereby blocking the binding of aminoacyl-tRNA to the mRNA-ribosome complex. This leads to an inhibition of protein synthesis. In addition, this agent has exhibited inhibition of collagenase activity. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C29007"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C29007"" NCI Thesaurus); UMLS Semantic Type: STY:T200"
CHEBI:50694	minocycline	"The hydrochloride salt of minocycline, a broad spectrum long-acting derivative of the antibiotic tetracycline, with antibacterial and anti-inflammatory activities. Minocycline binds to the bacterial 30S ribosomal subunit and interferes with the binding of tRNA to the ribosomal complex, thereby inhibiting protein translation in bacteria. In addition, minocycline inhibits the inflammatory enzyme 5-lipoxygenase (5LOX) and may impede T cell-microglia interactions; both activities may contribute to minocycline's neuroprotective effects. 5LOX catalyzes the synthesis of inflammatory mediators such as prostaglandins and leukotrienes.; The hydrochloride salt of minocycline, a broad spectrum long-acting derivative of the antibiotic tetracycline, with antibacterial and anti-inflammatory activities. Minocycline binds to the bacterial 30S ribosomal subunit and interferes with the binding of tRNA to the ribosomal complex, thereby inhibiting protein translation in bacteria. In addition, minocycline inhibits the inflammatory enzyme 5-lipoxygenase (5LOX) and may impede T cell-microglia interactions; both activities may contribute to minocycline's neuroprotective effects. 5LOX catalyzes the synthesis of inflammatory mediators such as prostaglandins and leukotrienes. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C47622"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C47622"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T195"
UMLS:C3653473	Corticosteroids for local oral treatment	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
CHEBI:9667	triamcinolone	"An esterified form of TRIAMCINOLONE. It is an anti-inflammatory glucocorticoid used topically in the treatment of various skin disorders. Intralesional, intramuscular, and intra-articular injections are also administered under certain conditions.; The acetonide salt form of triamcinolone, a synthetic glucocorticosteroid with immunosuppressive and anti-inflammatory activity. Triamcinolone acetonide binds to specific cytosolic glucocorticoid receptors and subsequently interacts with glucocorticoid receptor response element on DNA and alters gene expression. This results in an induction of the synthesis of certain anti-inflammatory proteins while inhibiting the synthesis of certain inflammatory mediators. Consequently, an overall reduction in chronic inflammation and autoimmune reactions are accomplished.; The acetonide salt of triamcinolone, a synthetic glucocorticosteroid with immunosuppressive and anti-inflammatory activities. Triamcinolone binds to specific cytosolic glucocorticoid receptors, which subsequently interact with the glucocorticoid receptor response element on DNA, gene expression is altered so that the synthesis of certain anti-inflammatory proteins is induced while the synthesis of certain inflammatory mediators is inhibited. Consequently, chronic inflammatory and autoimmune reactions are reduced. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C48027"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C48027"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:4462	dexamethasone sodium phosphate	"An intravitreal implant containing the corticosteroid dexamethasone embedded in a biodegradable polymer matrix, with anti-inflammatory and macular edema relieving activity. Upon insertion into the vitreous cavity, dexamethasone intravitreal implant is dissolved slowly and dexamethasone is released over an extended period of time. Dexamethasone inhibits inflammation thereby preventing leakage from the capillaries and a reduction of retinal edema. This may ultimately prevent vision impairment.; An intravitreal implant containing the corticosteroid dexamethasone embedded in a biodegradable polymer matrix, with anti-inflammatory and macular edema-relieving activity. Upon insertion into the vitreous cavity, dexamethasone intravitreal implant is dissolved slowly and dexamethasone is released over an extended period of time. Dexamethasone inhibits inflammation thereby preventing leakage from the capillaries and a reduction of retinal edema. This may ultimately prevent vision impairment. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C99171"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C99171"" NCI Thesaurus); UMLS Semantic Type: STY:T200"
CHEBI:5781	cortisol sodium phosphate	"The sodium salt of hydrocortisone succinate with glucocorticoid property. Hydrocortisone sodium succinate is chemically similar to the endogenous hormone that stimulates anti-inflammatory and immunosuppressive activities, in addition to exhibiting minor mineralocorticoid effects. This agent binds to intracellular glucocorticoid receptors and is translocated into the nucleus, where it initiates the transcription of glucocorticoid-responsive genes, such as various cytokines and lipocortins. Lipocortins inhibit phospholipase A2, thereby blocking the release of arachidonic acid from membrane phospholipids and preventing the synthesis of prostaglandins and leukotrienes, both potent mediators of inflammation.; The sodium salt of hydrocortisone succinate with glucocorticoid property. Hydrocortisone sodium succinate is chemically similar to the endogenous hormone that stimulates anti-inflammatory and immunosuppressive activities, in addition to exhibiting minor mineralocorticoid effects. This agent binds to intracellular glucocorticoid receptors and is translocated into the nucleus, where it initiates the transcription of glucocorticoid-responsive genes, such as various cytokines and lipocortins. Lipocortins inhibit phospholipase A2, thereby blocking the release of arachidonic acid from membrane phospholipids and preventing the synthesis of prostaglandins and leukotrienes, both potent mediators of inflammation. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C1819"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1819"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
UMLS:C3653107	prednisolone, combinations	UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
UMLS:C3654047	Other agents for local oral treatment in ATC	UMLS Semantic Type: STY:T121
CHEBI:28918	(R)-adrenaline	"a kind of hormone; The active sympathomimetic hormone from the ADRENAL MEDULLA. It stimulates both the alpha- and beta- adrenergic systems, causes systemic VASOCONSTRICTION and gastrointestinal relaxation, stimulates the HEART, and dilates BRONCHI and cerebral vessels. It is used in ASTHMA and CARDIAC FAILURE and to delay absorption of local ANESTHETICS.; The synthetic form of the naturally occurring sympathomimetic amine with vasoconstricting, intraocular pressure-reducing, and bronchodilating activities. By stimulating vascular alpha-adrenergic receptors, epinephrine causes vasoconstriction, thereby increasing vascular resistance and blood pressure. When administered in the conjunctiva, this agent binds to alpha-adrenergic receptors in the iris sphincter muscle, resulting in vasoconstriction, a decrease in the production of aqueous humor, and a lowering of intraocular pressure. Through its beta1 receptor-stimulating actions, epinephrine increases the force and rate of myocardial contraction and relaxes bronchial smooth muscle, resulting in bronchodilation.; The synthetic form of the naturally occurring sympathomimetic amine with vasoconstricting, intraocular pressure-reducing, and bronchodilating activities. By stimulating vascular alpha-adrenergic receptors, epinephrine causes vasoconstriction, thereby increasing vascular resistance and blood pressure. When administered in the conjunctiva, this agent binds to alpha-adrenergic receptors in the iris sphincter muscle, resulting in vasoconstriction, a decrease in the production of aqueous humor, and a lowering of intraocular pressure. Through its beta1 receptor-stimulating actions, epinephrine increases the force and rate of myocardial contraction and relaxes bronchial smooth muscle, resulting in bronchodilation. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C473"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C473"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121; UMLS Semantic Type: STY:T125"
CHEBI:94563	benzydamine	"An indazole non-steroidal anti-inflammatory drug (NSAID) with analgesic, antipyretic, and anti-edema properties. Unlike other NSAIDs, benzydamine hydrochloride does not inhibit cyclooxygenases (COX) but stabilizes membranes, resulting in local anesthesia; inhibits the production of pro-inflammatory cytokines; inhibits the generation of reactive oxygen species by neutrophils; inhibits leukocyte aggregation and adhesion; and exhibits antimicrobial properties. (NCI04); An indazole non-steroidal anti-inflammatory drug (NSAID) with analgesic, antipyretic, and anti-edema properties. Unlike other NSAIDs, benzydamine hydrochloride does not inhibit cyclooxygenases (COX) but stabilizes membranes, resulting in local anesthesia; inhibits the production of pro-inflammatory cytokines; inhibits the generation of reactive oxygen species by neutrophils; inhibits leukocyte aggregation and adhesion; and exhibits antimicrobial properties. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C1581"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C1581"" NCI Thesaurus); UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121"
CHEBI:15365	acetylsalicylic acid	Aspirin is only found in individuals who have consumed this drug. Aspirin or acetylsalicylic acid (acetosal) is a drug in the family of salicylates, often used as an analgesic (against minor pains and aches), antipyretic (against fever), and anti-inflammatory. It has also an anticoagulant effect and is used in long-term low-doses to prevent heart attacks and cancer. It was isolated from meadowsweet (Filipendula ulmaria, formerly classified as Spiraea ulmaria) by German researchers in 1839. While their extract was somewhat effective, it also caused digestive problems such as irritated stomach and diarrhoea, and even death when consumed in high doses. In 1853, a French chemist named Charles Frederic Gerhardt neutralized salicylic acid by buffering it with sodium (sodium salicylate) and acetyl chloride, creating acetosalicylic anhydride. Gerhardt's product worked, but he had no desire to market it and abandoned his discovery. In 1897, researcher Arthur Eichengrun and Felix Hoffmann, a research assistant at Friedrich Bayer & Co. in Germany, derivatized one of the hydroxyl functional groups in salicylic acid with an acetyl group (forming the acetyl ester), which greatly reduced the negative effects. This was the first synthetic drug, not a copy of something that existed in nature, and the start of the pharmaceuticals industry. The name 'aspirin' is composed of a- (from the acetyl group) -spir- (from the plant genus Spiraea) and -in (a common ending for drugs at the time). It has also been stated that the name originated by another means. As referring to AcetylSalicylic and 'pir' in reference to one of the scientists who was able to isolate it in crystalline form, Raffaele Piria. Finally 'in' due to the same reasons as stated above. Salicylic acid (which is a naturally occurring substance found in many plants) can be acetylated using acetic anhydride, yielding aspirin and acetic acid as a byproduct. It is a common experiment performed in organic chemistry labs, and generally tends to produce low yields due to the relative difficulty of its extraction from an aqueous state. The trick to getting the reaction to work is to acidify with phosphoric acid and heat the reagents under reflux with a boiling water bath for between 40 minutes and an hour. Aspirin acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis. (From Martindale, The Extra Pharmacopoeia, 30th ed, p5).
CHEBI:134821	adrenalone	ADRENALONE; FULL_MW:181.19; MAX_FDA_APPROVAL_PHASE: -1.0
CHEBI:31205	amlexanox	An anti-aphthous ulcer drug. Amlexanox inhibits the synthesis and release of inflammatory mediators, including leukotrienes and histamine, from mast cells, neutrophils, and mononuclear cells. Amlexanox also acts as a leukotriene D4 antagonist and a phosphodiesterase inhibitor. Amlexanox decreases the time ulcers take to heal as well as the pain associated with the ulcers.; UMLS Semantic Type: STY:T109; UMLS Semantic Type: STY:T121
